1;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;357;357;357;357;357;357;357;
41;9888;13888;16832;20332;23832;27332;31832;
43;158;168;178;188;198;208;218;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;4839;9982;15125;18740;22931;27122;32313;
83;588;608;628;648;748;848;948;
100;3920;4340;4760;5180;5600;6020;6440;
316;71128;87128;103128;119128;135128;151128;167128;
612;121280;153280;185280;217280;249280;281280;313280;
618;58420;103420;148420;193420;233420;273420;313420;
624;32440;42440;52440;62440;72440;82440;92440;
3416;190;190;190;190;190;190;190;
6412;0;0;0;0;0;0;0;
6418;1008;1008;1008;1008;1008;1008;1008;
6424;3160;3160;3160;3160;3160;3160;3160;

2;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;0;0;0;0;0;0;0;
41;6989;10989;15489;19989;24489;27889;32389;
43;0;500;1000;1500;2000;2400;2800;
77;71;71;71;71;71;71;71;
80;0;0;0;0;0;0;0;
81;4911;9885;15059;20611;25802;29452;34626;
83;23;27;31;35;39;43;47;
100;1680;2380;3080;3640;4340;4900;5600;
316;57551;71551;85551;94551;106551;120551;134551;
612;54871;84871;114871;131871;161871;189871;219871;
618;97620;142620;187620;210620;254620;294620;339620;
624;9782;18782;27782;32782;41782;49782;58782;
3416;0;0;0;0;0;0;0;
6412;5;5;5;5;5;5;5;
6418;88;88;88;88;88;88;88;
6424;340;340;340;340;340;340;340;

3;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;792;792;792;792;792;792;792;
41;10393;17883;25373;32365;36859;42793;49783;
43;1573;2473;3373;4273;5173;6073;6973;
77;26;26;26;26;26;26;26;
80;0;0;0;0;0;0;0;
81;5005;10881;16389;22056;26066;32100;38134;
83;1388;1888;2388;2888;3388;3888;4124;
100;2660;2940;3220;3500;3640;4200;4760;
316;74687;103687;132687;159687;177687;206687;235687;
612;146662;195382;249382;299382;338382;392382;446382;
618;166809;241689;319689;389689;439689;517689;595689;
624;29029;41577;58077;73077;82577;99077;115577;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;3961;3961;3961;3961;3961;3961;3961;
6424;3299;3299;3299;3299;3299;3299;3299;

4;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;2380;2380;2380;2380;2380;2380;2380;
41;5448;8648;12048;15448;18648;21848;25048;
43;624;864;1104;1344;1584;1824;2064;
77;43;43;43;43;43;43;43;
80;0;0;0;0;0;0;0;
81;4152;7375;10070;13293;16516;19739;22962;
83;40;60;80;100;120;140;160;
100;1120;1400;1680;1960;2240;2520;2800;
316;12162;21666;31170;40674;50178;59682;69186;
612;42957;63357;83757;104157;124557;144957;165357;
618;89112;121112;153112;185112;217112;249112;281112;
624;8484;14932;21380;27828;34276;40724;47172;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;436;436;436;436;436;436;436;
