1; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;357;357;357;357;357;357;357
41;3168;4478;6162;7590;9402;11662;16342
43;1514;1524;1534;1634;1734;1834;1934
77;4;4;4;4;4;4;4
80;0;0;0;0;0;0;0
81;3519;-2734;-4955;-7880;-9749;-10993;-6717
83;2230;2240;2250;2510;2770;3030;3130
100;5132;5552;5972;6392;6812;7092;7372
316;73328;89728;106128;122528;138928;155328;171728
612;112476;144142;175808;207474;239140;270806;302472
618;57392;86232;122560;158056;194800;233000;275360
624;34392;44814;55236;65658;76080;86502;96924
3416;190;190;190;190;190;190;190
6412;673;673;673;673;673;673;673
6418;729;729;729;729;729;729;729
6424;3040;3040;3040;3040;3040;3040;3040
 
2; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;7631;8419;11191;13067;15647;18867;20347
43;868;1168;1468;1768;1968;2096;2296
77;269;269;269;269;269;269;269
80;0;0;0;0;0;0;0
81;1891;-1657;-333;-1433;-541;1063;2131
83;391;403;415;427;439;331;343
100;3630;4470;4890;5730;6150;6990;7830
316;56024;41096;34688;28736;20744;25880;38936
612;69870;98822;113298;142250;156726;185678;214630
618;78845;109949;125917;160557;175901;214909;257037
624;4367;13839;18575;28047;32783;40175;49647
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;200;200;200;200;200;200;200
6424;340;340;340;340;340;340;340
 
3; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;792;792;792;792;792;792;792
41;9993;13426;16191;20968;22500;28685;35510
43;1904;2704;3504;4304;5104;5904;6704
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;3891;1383;325;649;-341;4031;10003
83;1642;1984;2326;2668;3010;3352;3694
100;4106;4769;5432;6095;6758;7421;8084
316;84271;81721;72629;81167;81579;101733;127167
612;97456;148540;182596;233680;267736;318820;369904
