------;------;------;-------;------;------;
k_mut;k_crossover;alfa;max_age;n_son;n_sup;
1.0;50;90;200;2;2;
Iteracion;Fitness global;Mejor fitness;Coste transporte;Coste de stock;;GRASP
0;263;230;230;55;;285
1;254;230;230;55;;285
2;245;230;230;55;;285
3;240;230;230;55;;285
4;237;230;230;55;;285
5;235;230;230;55;;285
6;234;230;230;55;;285
7;233;230;230;55;;285
8;232;229;229;55;;284
9;231;229;229;55;;284
10;231;228;228;59;;287
11;230;228;228;61;;289
12;229;228;228;61;;289
13;229;226;226;55;;281
14;228;225;225;55;;280
15;227;225;225;55;;280
16;227;225;225;55;;280
17;226;223;223;55;;278
18;226;223;223;55;;278
19;225;223;223;55;;278
20;225;223;223;55;;278
21;224;221;221;55;;276
22;223;221;221;55;;276
23;223;221;221;55;;276
24;222;220;220;55;;275
25;221;219;219;55;;274
26;221;219;219;55;;274
27;220;218;218;55;;273
28;220;218;218;55;;273
29;219;217;217;55;;272
30;219;216;216;55;;271
31;218;216;216;55;;271
32;218;215;215;55;;270
33;217;214;214;55;;269
34;217;214;214;55;;269
35;216;214;214;55;;269
36;216;214;214;55;;269
37;215;213;213;55;;268
38;215;212;212;55;;267
39;214;212;212;55;;267
40;213;212;211;55;;266
41;213;211;211;55;;266
42;213;210;210;55;;265
43;212;210;210;55;;265
44;212;210;210;55;;265
45;211;210;210;55;;265
46;211;209;209;55;;264
47;210;208;208;55;;263
48;210;208;208;55;;263
49;209;208;208;55;;263
50;209;207;207;55;;262
51;209;207;207;55;;262
52;208;207;207;55;;262
53;208;206;206;55;;261
54;207;206;205;55;;260
55;207;205;205;55;;260
56;206;205;205;55;;260
57;206;205;205;55;;260
58;206;205;205;55;;260
59;205;204;204;55;;259
60;205;204;204;55;;259
61;205;204;204;55;;259
62;204;203;203;55;;258
63;204;202;202;55;;257
64;204;202;202;55;;257
65;203;202;202;55;;257
66;203;202;202;55;;257
67;203;201;201;55;;256
68;202;201;201;55;;256
69;202;201;201;55;;256
70;202;200;200;55;;255
71;201;200;200;55;;255
72;201;200;200;55;;255
73;201;199;199;55;;254
74;200;199;199;55;;254
75;200;199;199;55;;254
76;200;199;199;55;;254
77;199;198;198;55;;253
78;199;198;198;55;;253
79;199;197;197;55;;252
80;198;197;197;55;;252
81;198;197;197;55;;252
82;198;197;197;55;;252
83;198;196;196;55;;251
84;197;196;196;55;;251
85;197;196;196;55;;251
86;197;196;195;55;;250
87;197;196;195;55;;250
88;196;195;195;55;;250
89;196;195;195;55;;250
90;196;195;195;55;;250
91;196;195;195;55;;250
92;195;194;194;55;;249
93;195;194;194;55;;249
94;195;194;194;55;;249
95;195;194;194;55;;249
96;194;193;193;55;;248
97;194;193;193;55;;248
98;194;193;193;55;;248
99;194;193;193;55;;248
100;194;193;193;55;;248
101;193;193;193;55;;248
102;193;192;192;55;;247
103;193;192;192;55;;247
104;193;192;192;55;;247
105;193;191;191;55;;246
106;192;191;191;55;;246
107;192;191;191;55;;246
108;192;191;191;55;;246
109;192;191;191;55;;246
110;192;191;191;55;;246
111;191;190;190;55;;245
112;191;190;190;55;;245
113;191;190;190;55;;245
114;191;190;190;55;;245
115;191;190;190;55;;245
116;191;190;190;55;;245
117;190;190;190;55;;245
118;190;189;189;55;;244
119;190;189;189;55;;244
120;190;189;189;55;;244
121;190;189;189;55;;244
122;190;189;189;55;;244
123;190;189;189;55;;244
124;189;189;189;55;;244
125;189;189;189;55;;244
126;189;189;189;55;;244
127;189;189;189;55;;244
128;189;188;188;55;;243
129;189;188;188;55;;243
130;189;188;188;55;;243
131;189;188;188;55;;243
132;189;188;188;55;;243
133;188;188;188;55;;243
134;188;188;188;55;;243
135;188;188;188;55;;243
136;188;188;188;55;;243
137;188;188;188;55;;243
138;188;188;188;55;;243
139;188;188;188;55;;243
140;188;187;187;55;;242
141;188;187;187;55;;242
142;188;187;187;55;;242
143;188;187;187;55;;242
144;188;187;187;55;;242
145;187;187;187;55;;242
146;187;187;187;55;;242
147;187;187;187;55;;242
148;187;187;187;55;;242
149;187;187;187;55;;242
150;187;187;187;55;;242
151;187;187;187;55;;242
152;187;187;187;55;;242
153;187;187;187;55;;242
154;187;187;187;55;;242
155;187;187;187;55;;242
156;187;187;187;55;;242
157;187;187;187;55;;242
158;187;187;187;55;;242
159;187;187;187;55;;242
160;187;187;187;55;;242
161;187;187;187;55;;242
162;187;187;187;55;;242
163;187;187;187;55;;242
164;187;187;187;55;;242
165;187;187;186;55;;241
166;187;186;186;55;;241
167;187;186;186;55;;241
168;187;186;186;55;;241
169;187;186;186;55;;241
170;186;186;186;55;;241
171;186;186;186;55;;241
172;186;186;186;55;;241
173;186;186;186;55;;241
174;186;186;186;55;;241
175;186;186;186;55;;241
176;186;186;186;55;;241
177;186;186;186;55;;241
178;186;186;186;55;;241
179;186;186;186;55;;241
180;186;186;186;55;;241
181;186;186;186;55;;241
182;186;186;186;55;;241
183;186;186;186;55;;241
184;186;186;186;55;;241
185;186;186;186;55;;241
186;186;186;186;55;;241
187;186;186;186;55;;241
188;186;186;186;55;;241
189;186;186;186;55;;241
190;186;186;186;55;;241
191;186;186;186;55;;241
192;186;186;186;55;;241
193;186;186;186;55;;241
194;186;186;186;55;;241
195;186;186;186;55;;241
196;186;186;186;55;;241
197;186;186;186;55;;241
198;186;186;186;55;;241
199;186;186;186;55;;241
------;------;------;-------;------;------;#¡VALOR!
k_mut;k_crossover;alfa;max_age;n_son;n_sup;#¡VALOR!
1.0;50;90;200;2;2;202
Iteracion;Fitness global;Mejor fitness;Coste transporte;Coste de stock;;GA
0;308;301;300;639;;939
1;308;301;300;639;;939
2;307;299;299;584;;883
3;307;302;302;550;;852
4;307;301;301;422;;723
