1; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;357;357;357;357;357;357;357
41;4096;3422;3890;-1978;-4326;-786;3990
43;1118;708;322;398;102;178;278
77;4;4;4;4;4;4;4
80;0;0;0;0;0;0;0
81;4767;2114;117;1176;-1253;-4705;-589
83;2230;1448;930;522;518;118;218
100;5132;4152;3172;3312;3452;3732;4012
316;53264;1024;1056;1088;2176;14352;29696
612;71196;43342;2768;10674;14020;38726;70152
618;30560;21752;18560;24728;4688;1496;44480
624;21080;9662;6980;4714;-2752;5382;15596
3416;190;190;190;190;190;190;190
6412;673;673;673;673;673;673;673
6418;729;729;729;729;729;729;729
6424;3040;3040;3040;3040;3040;3040;3040
 
2; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;5519;4355;2647;1579;-737;1043;2363
43;472;772;676;976;-12;116;316
77;269;269;269;269;269;269;269
80;0;0;0;0;0;0;0
81;675;-1417;-989;-2361;-1053;-841;-845
83;379;379;251;255;259;143;147
100;3630;4470;2090;1530;1950;2790;3630
316;56024;41096;25712;18704;7016;-1576;11480
612;60990;43622;31938;38090;4806;1118;19510
618;45981;33613;19421;13501;4509;669;42589
624;3119;1983;895;3919;-705;239;6175
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;200;200;200;200;200;200;200
6424;340;340;340;340;340;340;340
 
3; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;792;792;792;792;792;792;792
41;3785;530;-5153;-2616;-4060;813;7958
43;716;724;336;-52;-44;516;1316
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;2995;-585;-1211;-4359;-6421;-1409;5171
83;1114;1060;1006;424;502;844;1186
100;4106;4769;5432;6095;6758;7421;8084
316;72127;81721;91637;95423;113259;140805;168351
612;53776;48700;41956;66640;100696;151780;202864
618;159343;219157;267769;329247;380979;459305;537631
624;45389;33932;37526;40213;49631;66878;84125
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;3830;3830;3830;2150;2150;2150;2150
6424;2911;2911;2911;1711;1711;1711;1711
 
4; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;2380;2380;2380;2380;2380;2380;2380
41;2346;4582;2562;-1058;-2758;-362;2994
43;3752;1584;-94;208;812;1114;1718
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-732;-519;-2034;-4173;-2504;29;3106
83;190;216;110;136;30;56;82
100;2436;1372;1988;2604;3220;3836;4452
316;22800;31820;23416;26100;19808;9820;19896
612;42764;37368;23092;16496;1260;-6536;-1372
618;25396;11468;-8076;1500;2340;10668;39172
624;10464;3852;776;196;1072;6732;12392
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-398;-678;-678;-678;-678;-678;-678
6424;90;-30;-30;-30;-30;-30;-30
 
5; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
