1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;13061;9068;6636;4902;512;-2694;436
43;3524;4187;4658;5321;5984;6647;7310
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;3272;643;-1728;-2385;-4002;-4083;-772
83;452;238;288;338;356;242;392
100;4060;2380;2100;2660;3220;3780;4340
316;17418;5112;-5082;5316;20466;36672;47070
612;12400;7252;1144;3676;25168;34180;61192
618;9923;1447;9611;16319;-1517;22455;54539
624;30682;21048;15158;9892;11906;14544;16558
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;22600;26374;27012;31170;34944;39102;43260
43;876;1036;644;548;452;356;656
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;5109;1989;-373;-1131;-2455;-6963;-3151
83;444;316;192;200;208;216;92
100;6290;7410;4610;4610;5450;6290;7130
316;49564;51424;39619;21013;37657;31597;48241
612;34005;34485;21825;-3495;5145;21465;51945
618;53112;53528;59196;-812;6676;9588;47652
624;7384;6836;-2051;1731;7819;11411;19579
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;2440;170;3342;4722;8414;14016;20354
43;1922;1434;550;62;-30;670;1370
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;2068;-1731;-2071;-2139;-5557;-2044;4141
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;64884;64968;75408;90072;103152;126468;155064
612;33525;33345;8105;21745;40425;84885;130065
618;13535;22044;122;-7656;19926;83971;153008
624;49137;53960;56482;59004;63606;75085;85108
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;9992;6156;6608;1300;-2024;1246;3586
43;472;862;596;726;1116;1246;1376
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-1057;-1981;-2505;-4373;-4401;-571;3145
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;30048;22944;30096;12960;4800;-5064;5256
612;4384;5104;9904;12784;11104;30064;53104
618;3036;-1692;10012;6116;-6724;13536;43128
624;22968;15952;20792;11072;13416;15996;22292
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2496;3648;4480;5088;5536;6048
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;3282;3570;3138;3554;3698;3282
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;9360;9216;10656;10000;12016;9376
612;15820;17500;23020;26740;31180;35260;32380
618;33521;35169;34321;37881;41857;51697;44209
624;8740;24244;40788;56372;71956;85748;85332
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;24062;29915;36088;37334;43571;49712;56845
43;204;816;1428;1644;1860;2472;3084
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;-653;-1632;-2147;-3333;-4104;-2171;4610
83;5721;4611;3633;2391;1477;1423;1765
100;3025;2359;3093;3827;4561;5662;6763
316;207716;221224;221532;237152;241156;263002;290656
612;232404;231324;220884;191724;191844;231984;281964
618;187158;183084;161538;187208;211630;279671;361856
624;7476;6280;15068;21568;23492;37610;52768
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;2316;3276;2956;3404;3884;4844
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;2082;2269;2648;2947;3171;3134;4286
83;182;314;314;446;446;578;578
100;1260;700;1260;1820;2100;2660;2660
316;9527;13751;14279;19559;21671;26951;26951
612;7089;11409;15249;19809;21489;25809;25809
618;8318;21734;32862;46278;49294;62086;61878
624;12293;13749;15413;16869;17389;18637;18013
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
