1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;29689;32045;34369;35789;38681;41157;45497
43;667;271;271;271;271;271;271
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;14696;13253;12306;10251;11547;13911;19275
83;256;264;272;292;312;332;352
100;1460;1880;-780;-1480;-1060;-640;-220
316;1042;3842;834;11026;19746;30578;41938
612;47946;10906;-14374;-27654;-19814;-3574;29946
618;75608;83416;91640;90712;33624;1080;38216
624;23831;8703;13959;3615;1383;5599;14391
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;26912;25864;28304;31928;34508;37632;42152
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;12960;6205;6490;4503;4000;9;4294
83;60;56;56;56;56;56;56
100;3780;4760;1540;560;980;1960;2380
316;46464;27616;18800;-48;3200;-336;7664
612;67800;29080;33560;24120;4400;-1920;4760
618;8944;14088;12576;12312;2904;17824;37952
624;24024;9976;920;808;440;-88;2040
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;16098;23286;31114;34202;39106;45010;51914
43;2435;2047;1659;279;879;1479;2079
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;15270;18053;24036;25621;26268;29997;37679
83;1929;2529;3077;3677;4277;4877;5477
100;2100;2240;2380;2520;3080;3220;3360
316;68530;25666;46690;13890;30802;31266;58626
612;75960;53880;45000;70360;100520;138600;190440
