1; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;357;357;357;357;357;357;357;;;;
41;1888;3070;2418;1190;-1158;-786;3990;;;;-20104
43;1514;708;322;2;102;178;278;;;;
77;4;4;4;4;4;4;4;;;;
80;0;0;0;0;0;0;0;;;;138
81;4159;3714;853;-1544;-2501;-4337;-221;;;;
83;2230;1448;798;522;254;118;218;;;;
100;5132;4152;3172;3312;3452;3732;4012;;;;-229024
316;53264;1024;3696;32;2176;11712;27056;;;;
612;89196;63742;54848;62274;57460;80486;111912;;;;
618;44912;36936;21680;13288;14672;-792;42192;;;;-1659,594203
624;33976;13198;19460;14074;7024;8918;19132;;;;
3416;190;190;190;190;190;190;190;;;;
6412;673;673;673;673;673;673;673;;;;
6418;729;729;729;729;729;729;729;;;;
6424;3040;3040;3040;3040;3040;3040;3040;;;;
 ;;;;;;;;;;;
2; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;4943;1123;55;-2997;-2849;-781;539;;;;
43;868;376;280;184;384;116;316;;;;
77;269;269;269;269;269;269;269;;;;
80;0;0;0;0;0;0;0;;;;
81;1171;-1113;-1053;-2169;-1101;-1945;-1853;;;;
83;379;379;199;203;207;91;95;;;;
100;3630;4470;2090;1530;1950;2790;3630;;;;
316;57608;53240;27296;23984;11240;5288;20984;;;;
612;69870;35702;27618;25130;-714;4478;25510;;;;
618;76141;56077;49789;39085;19693;45;41965;;;;
624;3119;5519;895;3711;4287;10431;18655;;;;
3416;0;0;0;0;0;0;0;;;;
6412;5;5;5;5;5;5;5;;;;
6418;200;200;200;200;200;200;200;;;;
6424;340;340;340;340;340;340;340;;;;
 ;;;;;;;;;;;
3; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;792;792;792;792;792;792;792;;;;
41;2505;434;-2273;-2872;-5724;1261;8406;;;;
43;1508;1516;732;740;352;516;1316;;;;
77;26;26;26;26;26;26;26;;;;
80;0;0;0;0;0;0;0;;;;
81;1315;-265;-1051;-1319;-7317;-2401;3651;;;;
83;1114;1192;874;488;434;776;1118;;;;
100;4106;4769;5432;6095;6758;7421;8084;;;;
316;69487;79609;67349;89087;105867;133413;160959;;;;
612;52576;38380;16036;25840;27976;79060;130144;;;;
618;79263;60661;54569;63839;88531;164153;242479;;;;
624;34157;33932;21718;27733;35903;50238;67485;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;3830;3830;3830;2150;2150;2150;2150;;;;
6424;2911;2911;2911;1711;1711;1711;1711;;;;
 ;;;;;;;;;;;
4; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;2380;2380;2380;2380;2380;2380;2380;;;;
41;-438;-986;1986;2590;5466;8822;11826;;;;
43;2564;1584;1094;-188;416;718;1322;;;;
77;43;43;43;43;43;43;43;;;;
80;0;0;0;0;0;0;0;;;;
81;68;-2087;-3330;-2221;-1048;573;3746;;;;
83;190;216;190;216;-22;4;30;;;;
100;2436;1372;1988;2604;3220;3836;4452;;;;
316;5376;8588;13912;20292;11360;5596;15672;;;;
612;53084;46728;22852;19616;-2580;424;7028;;;;
618;58260;48076;22500;12732;-4732;-3060;27108;;;;
624;10672;11132;4312;3940;32;6940;10728;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;-398;-678;-678;-678;-678;-678;-678;;;;
6424;90;-30;-30;-30;-30;-30;-30;;;;
 ;;;;;;;;;;;
5; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;256;-592;608;204;844;628;-428;;;;
43;414;474;534;594;654;714;774;;;;
77;0;0;0;0;0;0;0;;;;
80;0;0;0;0;0;0;0;;;;
81;320;782;918;539;1380;1245;477;;;;
83;414;414;422;422;422;430;430;;;;
100;560;700;840;-140;0;140;140;;;;
316;3168;6140;9212;8488;9348;8796;4572;;;;
612;120;1520;1720;-3500;-1960;700;-5060;;;;
618;728;576;-1856;-1384;760;816;-2512;;;;
624;208;960;2960;1632;1552;432;-1648;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;204;204;204;204;204;204;204;;;;
6424;242;242;242;242;242;242;242;;;;
 ;;;;;;;;;;;
6; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;32;928;864;928;640;416;1056;;;;
43;188;188;188;188;188;188;188;;;;
77;24;24;24;24;24;24;24;;;;
80;0;0;0;0;0;0;0;;;;
81;2000;1871;1870;1197;996;308;-588;;;;
83;476;472;472;472;472;472;472;;;;
100;1540;1960;2380;2800;3220;3640;4060;;;;
316;11880;9240;8712;8712;8184;9240;9240;;;;
612;12527;10847;13727;15407;17807;21647;24047;;;;
618;24785;26449;23745;26033;27697;31789;37961;;;;
624;9780;10612;7700;8948;9780;11028;10404;;;;
3416;0;0;0;0;0;0;0;;;;
6412;80;80;80;80;80;80;80;;;;
6418;318;318;318;318;318;318;318;;;;
6424;240;240;240;240;240;240;240;;;;
 ;;;;;;;;;;;
7; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;21;21;21;21;21;21;21;;;;
41;-1536;2024;1392;6168;9926;15436;21234;;;;
43;2459;2006;1157;704;-541;194;929;;;;
77;216;216;216;216;216;216;216;;;;
80;0;0;0;0;0;0;0;;;;
81;911;234;-1547;-1888;-6298;-3220;-286;;;;
83;7855;8293;8731;9169;9607;10045;10483;;;;
100;2878;3678;4478;5278;5518;6718;7918;;;;
316;148513;159031;167965;181123;201145;225898;255931;;;;
612;173363;194075;215987;241979;271571;312119;348587;;;;
618;200182;226550;269142;312566;359110;430694;492918;;;;
624;75774;80422;92142;104486;116830;133578;153654;;;;
3416;1249;1249;1249;1249;1249;1249;1249;;;;
6412;0;0;0;0;0;0;0;;;;
6418;1400;1400;1400;1400;1400;1400;1400;;;;
6424;240;240;240;240;240;240;240;;;;
 ;;;;;;;;;;;
8; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;0;0;0;0;0;0;0;;;;
41;4002;4066;3682;3906;3490;3490;4418;;;;
43;1461;1461;1461;1461;1461;1461;1461;;;;
77;8;8;8;8;8;8;8;;;;
80;0;0;0;0;0;0;0;;;;
81;3651;2814;2937;2148;2373;2320;3328;;;;
83;61;61;61;61;61;61;61;;;;
100;1400;1680;1960;2240;2240;2520;2520;;;;
316;8448;11616;6864;10560;12592;16816;16816;;;;
612;10680;6360;11400;8760;2280;-840;-840;;;;
618;8424;13520;7800;13104;2392;416;208;;;;
624;9038;10286;11742;13198;13510;14550;13718;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;504;504;504;504;504;504;504;;;;
6424;608;608;608;608;608;608;608;;;;
 ;;;;;;;;;;;
9; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;2212;2212;2212;2212;2212;2212;2212;;;;
41;2776;3884;3095;546;-531;-712;2275;;;;
43;5648;6220;7078;7936;8794;9652;10510;;;;
77;44;44;44;44;44;44;44;;;;
80;0;0;0;0;0;0;0;;;;
81;2571;-1604;-1354;-3392;-3382;-540;3518;;;;
83;14364;14556;14844;15132;15420;15612;15900;;;;
100;-1120;-3734;-2988;-2242;-1496;-750;-4;;;;
316;30528;9012;168;6636;6240;14292;26040;;;;
612;19296;26036;28456;10476;3776;676;23736;;;;
618;58040;36060;19488;5828;-20104;140;27664;;;;
624;112;1516;1880;7444;11136;17116;24760;;;;
3416;-120;-120;-120;-120;-120;-120;-120;;;;
6412;0;0;0;0;0;0;0;;;;
6418;280;280;280;280;280;280;280;;;;
6424;0;0;0;0;0;0;0;;;;
 ;;;;;;;;;;;
10; ; ; ; ; ; ; ; ;;;
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;;;;
21;2174;2174;2174;2174;2174;2174;2174;;;;
41;756;-324;1540;2092;-12;-956;2188;;;;
43;1918;457;184;-485;34;553;1072;;;;
77;108;108;108;108;108;108;108;;;;
80;0;0;0;0;0;0;0;;;;
81;1397;-2784;-2037;-1561;-1374;-2307;-146;;;;
83;571;580;589;598;607;616;625;;;;
100;2916;302;-1192;-446;300;1046;1046;;;;
