1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;13861;8044;5420;5606;3328;4154;7284
43;3524;3947;4610;5273;5936;6599;7262
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;2424;-397;-2112;-3025;-4338;-3987;-468
83;452;106;156;74;92;110;260
100;4060;2380;2100;2660;3220;3780;4340
316;43818;26232;26598;23796;25746;33504;43902
612;51040;31012;16504;-5684;-5312;1540;33352
618;30931;23287;26043;14031;3683;823;32907
624;33386;22088;14118;3860;4210;192;2206
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;22120;25894;29540;33698;37056;41214;45372
43;876;484;488;392;296;200;500
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;4245;1061;-2309;-2699;-3783;-4451;-767
83;444;448;456;200;208;84;92
100;6290;7410;4610;4610;5450;6290;7130
316;52204;18688;10051;10981;19177;22093;38737
612;32085;29205;23985;21705;3465;9945;35625
618;71000;46872;36524;22068;10628;-188;43700
624;4472;7668;7517;8803;11979;18691;26859
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;6376;1450;334;658;-450;4096;10434
43;2318;2622;2926;2834;2742;3442;4142
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;3204;749;-199;-2395;-8261;-6204;-403
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;62772;78168;54816;43080;50352;76308;105432
612;31125;43425;7145;16705;46425;92085;140625
618;77391;65724;37978;-168;-11898;32387;101632
624;43937;51880;43378;35500;32198;45965;57652
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;10376;8012;9040;4820;2040;5310;6242
43;868;862;596;-66;324;454;584
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-2337;-3357;-2585;-4133;-2193;1861;5401
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;9456;2352;3168;816;7968;2856;11592
612;17104;4144;14944;30544;37024;47824;70864
618;28620;22228;3980;4452;-6308;-3312;23576
624;22344;13664;11432;10448;9672;18076;18548
