1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;15045;12588;13548;13414;14624;17754;20884
43;3524;4187;4850;5513;6176;6839;7502
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;2616;-621;-2304;-2641;-3522;-4275;-1172
83;452;238;156;74;92;-22;128
100;4060;2380;2100;2660;3220;3780;4340
316;51210;29400;12342;16404;5682;13440;23838
612;47920;31972;18664;3676;448;2980;34792
618;31347;28487;18971;15487;-3181;823;38315
624;36298;18344;11622;5940;1298;400;2414
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;20840;23238;22884;25986;28512;32670;36828
43;480;88;92;392;296;200;500
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;4421;-1499;-2469;-3035;-5063;-3987;-495
83;444;448;456;464;208;84;92
100;6290;7410;4610;4610;5450;6290;7130
316;49564;33472;24307;421;12841;16285;32929
612;33765;35445;20625;-3255;-4215;14745;40425
618;66840;52280;35484;-188;228;-3100;29556
624;7384;14116;3149;1523;-6117;595;8763
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;2568;138;4366;3634;4446;10208;16546
43;1526;1638;1702;1610;2310;3010;3710
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;1220;-451;-2999;-3259;-7077;-2188;4141
83;-68;32;132;232;264;364;420
100;2800;2940;3080;3220;3360;3500;3640
316;51156;31176;40560;57336;75168;101124;130248
612;31845;48465;67865;92305;123465;169125;217665
618;40575;57196;38810;6904;-25834;28643;97888
624;46017;47096;47538;39036;43222;56989;68676
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;11048;7436;5232;788;-3688;-1570;418
43;868;466;200;330;-72;58;188
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;479;-957;-1833;-2885;-5217;-3515;-23
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;16848;15024;23232;19296;24336;19752;28488
612;18064;7264;21184;35104;43264;51904;67744
618;31116;30964;12300;-956;-5892;4176;31064
624;23176;24688;18504;14608;19032;25772;26244
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2496;3648;4480;5088;5536;6048
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;3282;3570;3138;3554;3698;3282
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;9360;9216;10656;10000;12016;9376
612;15820;17500;23020;26740;31180;35260;32380
618;33521;35169;34321;37881;41857;51697;44209
624;8740;24244;40788;56372;71956;85748;85332
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;24638;28283;34136;35862;42291;48432;55565
43;600;420;-156;60;276;888;1500
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;-413;-624;-2227;-6997;-6216;-1851;4930
83;5061;4083;3457;3139;2557;2767;3109
100;3025;2359;3093;3827;4561;5662;6763
316;216164;228088;224700;236096;247492;270394;298048
612;244884;218844;213204;200844;212484;253824;303804
618;171974;115900;96434;116488;153182;229335;311520
624;15380;17304;19228;20736;20580;34698;49856
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;2316;3276;2956;3404;3884;4844
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;2082;2269;2648;2947;3171;3134;4286
83;182;314;314;446;446;578;578
100;1260;700;1260;1820;2100;2660;2660
316;9527;13751;14279;19559;21671;26951;26951
612;7089;11409;15249;19809;21489;25809;25809
618;8318;21734;32862;46278;49294;62086;61878
624;12293;13749;15413;16869;17389;18637;18013
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
9; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2212;2212;2212;2212;2212;2212;2212
41;6684;3152;-1394;-948;-822;-2328;390
43;2044;2863;3682;4501;5320;6139;6958
77;41;41;41;41;41;41;41
80;0;0;0;0;0;0;0
81;1305;-919;-2287;-4087;-4831;-3351;657
83;15343;15880;16417;16954;17491;18028;18565
100;559;1343;2127;2911;3695;4479;4871
316;67134;73796;56170;62304;71078;80380;86879
612;50220;13020;780;-7380;5580;19500;32460
618;15838;13232;-1854;-5084;-3738;728;14297
624;1672;7030;10308;13378;19776;25550;28229
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;252;252;252;252;252;252;252
