1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;15781;11756;6956;5766;4608;-1606;1524
43;3524;3947;4418;4841;5324;5987;6650
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;3208;803;-592;-1809;-3010;-2931;-148
83;452;502;552;602;732;618;768
100;4060;2380;2100;2660;3220;3780;4340
316;48042;29400;29766;31188;31026;38784;49182
612;39760;21892;16984;13036;11008;7780;34792
618;34883;14551;23339;10287;-1101;-3961;28123
624;35466;25208;23062;20292;13154;12256;14270
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;21544;20710;23300;23586;25920;29374;33532
43;876;1276;884;788;1088;596;896
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;6373;1557;-709;-1979;-1879;-3843;-79
83;444;448;456;420;428;368;376
100;6290;7410;4610;4610;5450;6290;7130
316;48508;22912;4771;3589;14425;15229;31873
612;36645;32085;29265;3465;7545;26505;53385
618;55400;25448;17388;852;6468;-15372;22692
624;7384;10996;9597;11299;16347;21603;26651
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;6856;3626;4046;2834;-770;2880;9218
43;1130;246;946;62;762;1462;2162
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;4100;-2563;-3095;-4027;-6325;-2588;3213
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;31092;45432;17328;13512;27648;53604;82728
612;48165;43905;46265;52225;74985;109365;157905
618;50559;44924;34234;34776;5574;56723;125968
624;33121;31704;34642;15948;17014;24541;36228
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;8232;6220;6608;1492;-456;2814;4802
43;472;862;596;726;720;850;980
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-1249;-1773;-1817;-2245;-2257;-27;3465
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;28992;13968;20592;14544;15888;7608;16344
612;26944;22624;29824;-5696;5104;8944;16864
618;30492;26804;9180;3620;-10884;-2272;24616
624;24632;27600;26616;27504;21528;27852;28324
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
