1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;17157;13132;6412;6278;6016;-902;2228
43;3524;3947;4418;4841;5324;5987;6650
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;3288;1683;-912;-1713;-3858;-3123;-324
83;452;238;288;338;336;286;436
100;4060;2380;2100;2660;3220;3780;4340
316;27450;8280;16566;27492;26274;34032;49710
612;48640;33412;13384;4876;7888;1060;28072
618;29059;23079;10859;16319;7427;3527;37067
624;38586;28952;24102;25076;11074;7056;12190
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;19432;17990;20868;19042;21376;25534;29692
43;876;880;884;1184;692;596;896
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;6325;2357;-69;-1707;-2743;-4115;-319
83;444;316;324;288;296;304;312
100;6290;7410;4610;4610;5450;6290;7130
316;48508;37168;23251;24181;39241;31597;42961
612;34725;28005;29985;4665;3705;14745;45225
618;58728;36056;26956;7092;13124;436;37044
624;6344;5588;-387;1315;2827;7043;12091
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;6856;3914;4014;2066;-1442;2208;8546
43;1922;1038;946;854;1554;2254;2954
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;4196;-979;-1175;-3211;-5973;-2492;3213
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;60132;72360;82272;94296;111072;137028;166152
612;48645;54225;62345;63025;80985;115365;163905
618;21231;3532;3866;11064;16806;85011;148640
624;42481;44808;41922;27180;29286;36813;48500
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;8808;6668;4400;1076;-872;2398;4386
43;868;1258;596;330;324;454;584
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-1409;-1549;-2617;-4581;-3169;-507;2985
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;27936;11328;14256;11376;18528;9192;17928
612;33904;29104;34624;-3296;11344;14224;30064
618;31532;27012;11676;5908;-5268;-1024;25864
624;23176;23856;12888;9408;10296;16620;17092
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
