1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;14405;9932;6124;1990;576;-710;2420
43;3524;4187;4850;5513;6176;6839;7502
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;2136;-349;-1280;-3041;-4098;-3891;-356
83;320;370;156;74;224;110;260
100;4060;2380;2100;2660;3220;3780;4340
316;38538;21480;21318;23796;28386;36144;51822
612;33280;28132;20824;4156;16288;9460;41272
618;27395;16631;17723;4047;9923;199;33739
624;34010;22920;14950;11140;9410;5392;10526
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;22600;26374;30020;34178;37536;41694;45852
43;876;880;884;392;296;596;896
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;3109;-139;-2133;-2267;-2423;-5379;-1791
83;444;184;60;68;76;84;92
100;6290;7410;4610;4610;5450;6290;7130
316;49564;33472;17971;10453;21289;13645;25009
612;34245;38805;35025;14025;-14775;4185;29865
618;65176;55192;34652;6468;4596;-1852;34756
624;7384;11412;5021;1939;5323;10163;15211
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;6568;3434;1390;2802;3422;5856;12194
43;1130;1434;1342;458;1158;1858;2558
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;1540;-1603;-1815;-1755;-5589;-2476;3853
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;59076;72360;70656;89016;103152;129108;158232
612;32805;32145;34025;51985;75705;121365;169905
618;33087;34732;12394;248;-44554;6595;75840
624;46849;50840;53570;53388;61734;75501;87188
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;9480;5740;7408;2324;952;4222;5154
43;472;274;404;534;924;1054;1184
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;383;-589;-1625;-2981;-6673;-2443;1097
83;0;0;0;0;-68;-68;-68
100;5670;6206;6742;7278;7814;8350;8886
316;20016;20832;25872;22992;12720;8664;17400
612;1504;64;5344;-4736;17584;29344;52384
618;19884;19940;11676;7780;140;13328;40216
624;24632;14912;11432;6080;8008;16412;16884
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2496;3648;4480;5088;5536;6048
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;3282;3570;3138;3554;3698;3282
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;9360;9216;10656;10000;12016;9376
612;15820;17500;23020;26740;31180;35260;32380
618;33521;35169;34321;37881;41857;51697;44209
624;8740;24244;40788;56372;71956;85748;85332
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;25406;30779;36952;40534;47667;53808;60941
43;996;816;636;456;-120;492;1104
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;579;-2496;-2451;-3461;-4744;-2859;2338
83;6249;5931;5833;4855;4273;4483;4825
100;3025;2359;3093;3827;4561;5662;6763
316;221972;228088;230508;247184;261220;284122;311776
612;242964;219804;214164;203244;216084;262944;312924
618;214822;193068;188994;192408;230974;307127;389312
624;15796;16056;24844;19904;24324;38442;53600
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;2316;3276;2956;3404;3884;4844
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;2082;2269;2648;2947;3171;3134;4286
83;182;314;314;446;446;578;578
100;1260;700;1260;1820;2100;2660;2660
316;9527;13751;14279;19559;21671;26951;26951
612;7089;11409;15249;19809;21489;25809;25809
618;8318;21734;32862;46278;49294;62086;61878
624;12293;13749;15413;16869;17389;18637;18013
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
9; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2212;2212;2212;2212;2212;2212;2212
41;10172;7280;5198;1356;-438;-792;1926
43;2044;2863;3682;4501;5320;6139;6958
77;41;41;41;41;41;41;41
80;0;0;0;0;0;0;0
81;1337;-1479;-2495;-4439;-4511;-2215;1793
83;14155;14032;14173;14710;15247;15784;16321
100;559;1343;2127;2911;3695;4479;4871
316;49182;31556;20266;21648;18278;32332;38831
612;54540;3420;18540;17340;29100;55020;67980
618;3566;128;-8926;116;14566;21320;34889
624;1048;4950;10308;12962;15824;23262;25941
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;252;252;252;252;252;252;252
6424;705;705;705;705;705;705;705
 
10; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2174;2174;2174;2174;2174;2174;2174
41;10900;9544;6108;4304;2180;764;4816
43;672;768;864;564;264;756;1248
77;108;108;108;108;108;108;108
80;0;0;0;0;0;0;0
81;707;-2536;-2781;-2932;-2297;-3180;1027
83;892;814;604;526;316;-26;28
100;3668;4578;658;1568;1568;2478;2478
316;11294;3611;12296;-1450;10403;26480;37550
612;27940;16300;7540;2500;12220;22660;27940
618;33540;27596;21236;148;33724;70420;98420
624;65222;62802;59134;58214;59746;65854;72838
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;248;248;248;248;248;248;248
6424;-285;-285;-285;-285;-285;-285;-285
 
11; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;-47;970;999;1768;2793;3810;4835
43;57;219;381;543;705;867;1029
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;-1752;-2397;-3868;-2775;-2370;-1171;193
