1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;15973;10796;9036;7846;2368;2298;5428
43;3524;4187;4850;5273;5936;6599;7262
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;2008;-365;-1808;-2529;-3506;-4387;-852
83;452;370;288;338;224;110;260
100;4060;2380;2100;2660;3220;3780;4340
316;43818;23064;25014;27492;29442;37200;52878
612;42880;29332;16744;-11684;2368;9220;41032
618;20531;31191;15643;11119;9923;-5417;28123
624;35674;21880;13910;10100;5874;1856;6990
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;21800;25574;29220;33314;36608;40062;44220
43;876;880;1280;788;692;200;500
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;3221;-315;-917;-2347;-4759;-4611;-1023
83;444;448;324;332;340;348;224
100;6290;7410;4610;4610;5450;6290;7130
316;49564;33472;19555;13093;23929;16285;27649
612;34245;27285;26385;3225;105;5385;31065
618;61224;44376;27372;4596;3764;-1436;35172
624;1352;5380;1693;-1805;1163;8291;13339
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;4808;4970;7438;-398;-738;2912;9250
43;734;246;154;854;1554;2254;2954
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;212;-4195;-4263;-3787;-4197;692;7021
83;-68;32;132;232;264;364;420
100;2800;2940;3080;3220;3360;3500;3640
316;48516;43848;19440;37800;57216;83172;112296
612;11205;15345;17225;35185;67545;113205;161745
618;38287;35772;24874;-7240;2246;56723;125968
624;45185;51256;47746;46732;45718;59485;71172
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;10152;5900;5520;2516;-424;2750;3682
43;868;862;992;546;936;1066;1196
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-2257;-2989;-2873;-5205;-2433;1285;4825
83;0;0;0;-20;-20;-20;-20
100;5670;6206;6742;7278;7814;8350;8886
316;9456;10272;20592;17712;7440;18696;27432
612;14944;17344;17824;64;8704;20464;43504
618;24460;24932;20412;7156;-3604;6048;32936
624;21928;19072;12264;12528;13832;20156;20628
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
