1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;16101;11820;8076;5286;5344;186;3316
43;3524;3947;4418;4841;5324;5987;6650
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;2952;1683;-704;-1825;-2706;-3155;-244
83;452;502;420;338;336;90;240
100;4060;2380;2100;2660;3220;3780;4340
316;48042;22536;4422;12708;17298;26112;41790
612;54640;42772;23944;4876;-1232;580;27592
618;33843;27655;19387;17775;9091;823;39771
624;38586;26040;18278;16756;3378;3104;8238
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;22600;24934;27716;31170;33504;36958;41116
43;876;880;884;788;692;596;896
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;6133;2213;-645;-1787;-2295;-3859;-223
83;444;448;324;288;296;172;180
100;6290;7410;4610;4610;5450;6290;7130
316;54844;23440;4243;-9611;7033;-611;10753
612;38085;21045;18225;-6135;1305;19785;46665
618;68504;43336;28412;20820;26436;-6220;24980
624;7384;7668;6269;7971;8859;13075;15003
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;6888;1130;1806;2130;1790;5440;11778
43;1526;1434;946;-334;-30;670;1370
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;3828;-1747;-1367;-987;-5221;-2012;4317
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;27396;34872;38976;47304;64080;90036;119160
612;18165;5505;1385;4225;27465;61845;110385
618;49727;41180;-14854;-19720;4118;68995;138240
624;37281;37320;37554;22604;21174;28701;40388
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;11144;9004;7216;2836;-168;3102;4034
43;868;1258;596;726;324;454;584
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-513;-1549;-1897;-4469;-4177;-1083;2409
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;20016;19248;29568;21936;7440;2856;11592
612;33904;34864;28384;2944;14944;18784;34624
618;22588;18484;4188;1124;-5268;4384;31272
624;22136;22816;19544;12320;13208;19532;20004
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2496;3648;4480;5088;5536;6048
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;3282;3570;3138;3554;3698;3282
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;9360;9216;10656;10000;12016;9376
612;15820;17500;23020;26740;31180;35260;32380
618;33521;35169;34321;37881;41857;51697;44209
624;8740;24244;40788;56372;71956;85748;85332
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;25406;30651;36824;40886;47827;53968;61101
43;600;816;636;1248;276;888;1500
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;1139;-1152;-2947;-5301;-4456;-2891;722
83;4929;3819;3105;2259;2005;2347;2689
100;3025;2359;3093;3827;4561;5662;6763
316;218276;229672;229980;245600;259636;281482;309136
612;248724;250284;243684;243324;256164;301824;351804
618;205670;206172;201474;230888;269454;337495;419680
624;20996;27912;33164;42160;51156;65274;80432
