1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;16517;13804;10060;7814;6816;602;3732
43;3524;3947;4418;4841;5324;5987;6650
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;3768;1571;-576;-657;-2194;-4371;-1588
83;452;238;288;294;292;110;260
100;4060;2380;2100;2660;3220;3780;4340
316;40122;16200;20262;28548;30498;40896;51294
612;48160;34132;20584;17596;8128;7060;34072
618;34467;15175;7947;20063;6803;3943;36027
624;40250;37064;32422;29652;19602;21200;23214
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;20488;18598;22244;22530;24864;28318;32476
43;876;880;1280;788;692;596;896
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;5733;2485;-565;-2027;-2583;-4051;-287
83;444;448;324;332;76;84;92
100;6290;7410;4610;4610;5450;6290;7130
316;51148;40864;22723;25237;41881;34237;50881
612;37845;37605;30465;-9735;-2535;15945;42825
618;62680;45832;24668;19364;20196;20;38084
624;6344;7876;-803;899;539;4755;9803
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;7912;4138;2702;2226;-1282;2208;8546
43;1130;246;946;458;1158;1858;2558
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;4196;-659;-1079;-3227;-4677;-2172;3533
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;30564;42264;16272;9288;18672;44628;73752
612;35445;18225;12665;-7295;5385;39765;88305
618;50351;47628;3658;-1832;3702;71907;135536
624;29585;24424;22370;3260;2870;10397;22084
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;9928;7212;4208;372;-520;2750;3682
43;868;862;596;726;720;850;980
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-2033;-1837;-2809;-3925;-2993;5;3497
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;23712;16608;13728;9792;20112;14472;23208
612;29584;23104;20224;15664;24544;27424;43264
618;23212;22644;6268;-1788;-3812;8336;35224
624;24008;24688;21000;17936;19656;25980;26452
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2496;3648;4480;5088;5536;6048
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;3282;3570;3138;3554;3698;3282
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;9360;9216;10656;10000;12016;9376
612;15820;17500;23020;26740;31180;35260;32380
618;33521;35169;34321;37881;41857;51697;44209
624;8740;24244;40788;56372;71956;85748;85332
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;25086;30939;37112;41174;48019;54160;61293
43;996;816;636;852;276;888;1500
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;2147;-432;-1875;-4069;-5560;-2491;3762
83;5325;4479;3765;2919;2337;2547;2889
100;3025;2359;3093;3827;4561;5662;6763
316;221972;234424;238428;254048;268084;292570;320224
612;247044;248604;249684;251724;264564;305664;355644
618;228966;228844;208962;210296;248862;320647;402832
624;20996;27912;35660;41120;50116;64442;79600
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;2316;3276;2956;3404;3884;4844
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;2082;2269;2648;2947;3171;3134;4286
83;182;314;314;446;446;578;578
100;1260;700;1260;1820;2100;2660;2660
316;9527;13751;14279;19559;21671;26951;26951
612;7089;11409;15249;19809;21489;25809;25809
618;8318;21734;32862;46278;49294;62086;61878
624;12293;13749;15413;16869;17389;18637;18013
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
9; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2212;2212;2212;2212;2212;2212;2212
41;9116;6224;5518;2380;-1046;712;3430
43;2044;2863;3682;4501;5320;6139;6958
77;41;41;41;41;41;41;41
80;0;0;0;0;0;0;0
81;1625;-2327;-3711;-4327;-3551;-1703;2305
83;15211;15748;16153;16558;17095;17632;18169
100;559;1343;2127;2911;3695;4479;4871
316;52878;41060;35578;21648;21974;31276;37775
612;43260;39900;50700;65580;70140;84060;97020
618;24782;18432;7298;2196;5622;8840;22409
624;5000;10358;8228;2146;-192;1422;4101
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;252;252;252;252;252;252;252
6424;705;705;705;705;705;705;705
 
10; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2174;2174;2174;2174;2174;2174;2174
41;13524;14376;15804;15952;17924;19676;23728
43;516;1008;708;408;108;600;1092
77;108;108;108;108;108;108;108
80;0;0;0;0;0;0;0
81;99;-1400;-2813;-1924;-1609;-4076;179
83;628;550;340;394;448;-26;28
100;3668;4578;658;1568;1568;2478;2478
316;10238;10475;11768;7526;3539;19616;30686
612;18820;17980;9940;2980;18220;39700;52180
618;23764;14284;7716;-11708;-29300;11556;32692
624;70006;76530;79518;82966;87202;93310;100294
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;248;248;248;248;248;248;248
6424;-285;-285;-285;-285;-285;-285;-285
 
11; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;529;778;1319;1768;2793;3810;4835
43;57;219;381;543;705;867;1029
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;264;-1005;-876;-679;-3106;-2707;-1343
83;31;55;79;103;127;151;175
100;0;0;0;0;0;0;0
316;4680;9900;15120;17730;17700;19752;22362
612;3210;-4204;2302;3635;-3192;3554;8007
618;-652;4386;8592;12151;10926;21372;28675
624;2052;4986;8544;9075;10646;14204;15983
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;51;51;51;51;51;51;51
6424;20;20;20;20;20;20;20
 
12; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;15098;10038;7108;1632;-338;-2166;230
43;686;736;786;836;886;936;986
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;-1464;-1210;-2267;-2781;-4078;-832;2558
83;-8;-8;-8;-8;-8;-8;-8
100;1960;483;966;1449;1932;2415;2898
316;8118;6314;2244;-770;-88;7612;11990
612;11340;13470;1695;-6960;-2655;10755;18900
618;1248;22594;27963;33956;33917;58591;71032
624;12675;13455;11453;11947;11817;17381;20163
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;448;448;448;448;448;448;448
6424;560;560;560;560;560;560;560
 
13; ; ; ; ; ; ; ; 
