1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;15525;11660;11084;9862;4480;7418;10548
43;3524;4187;4850;5513;6176;6839;7502
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;1768;-749;-1488;-2705;-4226;-3875;-868
83;452;502;420;338;356;242;392
100;4060;2380;2100;2660;3220;3780;4340
316;43818;27288;29238;32772;34722;42480;58158
612;40720;19012;6184;-7124;928;7780;39592
618;25107;19959;13147;3007;8883;-841;32699
624;32138;19176;13286;4068;4418;400;5534
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;22600;24678;27268;30370;33728;37886;42044
43;876;1276;1088;992;500;404;704
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;4821;-219;-2341;-2795;-2247;-5203;-1615
83;444;448;456;464;472;348;356
100;6290;7410;4610;4610;5450;6290;7130
316;49564;31888;17971;11509;19705;12061;23425
612;30405;34725;36465;6105;2985;8265;33945
618;63096;51240;25500;1268;5844;-4348;32260
624;4264;10996;2525;483;1371;8083;13131
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;5704;5066;6478;3506;-2914;736;7074
43;1526;642;550;62;-30;670;1370
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;3172;-3;-2551;-3771;-6709;-3676;2653
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;40596;51768;30528;47304;65664;91620;120744
612;35685;24225;-1495;23905;53145;98805;147345
618;45775;59692;42138;15640;-12106;39043;108288
624;43937;43768;40050;31756;36982;50749;62436
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;11144;7244;5040;1716;-168;-162;770
43;472;862;992;150;540;670;800
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-1601;-2893;-3033;-4629;-2609;1525;5065
83;0;0;0;-20;-20;-20;-20
100;5670;6206;6742;7278;7814;8350;8886
316;20016;20832;31152;28272;18000;13416;22152
612;17344;13744;12304;7264;13744;25504;48544
618;21756;27844;16044;10276;-484;9584;36472
624;24008;18864;15592;17312;16536;23276;23748
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2496;3648;4480;5088;5536;6048
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;3282;3570;3138;3554;3698;3282
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;9360;9216;10656;10000;12016;9376
612;15820;17500;23020;26740;31180;35260;32380
618;33521;35169;34321;37881;41857;51697;44209
624;8740;24244;40788;56372;71956;85748;85332
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;24318;28923;34776;35702;42835;48976;56109
43;360;972;792;1008;432;1044;1656
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;403;-976;-867;-3061;-6456;-2987;2210
83;4401;3555;2665;1951;2029;2239;2581
100;3025;2359;3093;3827;4561;5662;6763
316;221972;233896;236316;250880;264916;287818;315472
612;239124;213324;212724;209004;221844;268704;318684
618;217942;209084;195026;187000;225566;301719;383904
624;15796;13560;22348;14912;19332;33450;48608
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;2316;3276;2956;3404;3884;4844
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;2082;2269;2648;2947;3171;3134;4286
83;182;314;314;446;446;578;578
100;1260;700;1260;1820;2100;2660;2660
316;9527;13751;14279;19559;21671;26951;26951
612;7089;11409;15249;19809;21489;25809;25809
618;8318;21734;32862;46278;49294;62086;61878
624;12293;13749;15413;16869;17389;18637;18013
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
