1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;16101;10956;7020;5286;4384;122;3252
43;3524;4187;4850;5513;6176;6839;7502
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;1848;-189;-1616;-2145;-3266;-4131;-500
83;452;238;156;74;224;110;260
100;4060;2380;2100;2660;3220;3780;4340
316;39594;26760;23430;12708;17826;31920;42318
612;29440;17092;20344;7516;22288;33700;65512
618;37171;29943;26667;23807;1395;-3337;34155
624;33594;28952;24726;14676;15650;14752;16766
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;18376;21094;18404;21506;21696;25854;30012
43;876;1276;884;788;296;596;896
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;3877;-731;-1349;-2427;-3527;-4147;-623
83;444;448;324;332;340;84;92
100;6290;7410;4610;4610;5450;6290;7130
316;44284;28192;29059;11509;28153;23149;39793
612;27285;43605;31185;13305;8745;20025;42105
618;68920;42088;39020;5844;-2684;-9340;29140
624;1768;2676;3149;4851;10731;11619;16667
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;4648;3050;3054;3506;-2;4544;10882
43;2318;3018;3718;4418;5118;5818;6518
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;2324;-2051;-1591;-4171;-4773;-2124;4205
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;53796;60216;47952;46776;64080;90036;119160
612;49365;52545;38825;30385;32265;64965;113505
618;26431;30364;21754;13768;-14810;41331;110576
624;36657;43768;48994;47148;55494;67805;79492
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;9768;7852;5616;1236;-1480;734;3074
43;76;466;596;726;1116;1246;1376
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;639;-637;-1081;-2437;-6225;-3451;217
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;30576;18192;28512;15600;13776;8136;18456
612;13024;2224;-2096;5584;16624;39424;55264
618;20924;25140;12716;20468;-7972;8960;38552
624;24840;26768;17048;18352;12792;20572;26868
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;908;2008;2528;3268;4108;4108
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;1256;2160;2976;3708;4340;4340
83;4;4;4;4;14;14;14
100;1120;1260;1260;280;280;420;420
316;3072;6572;9444;12944;16344;19316;19316
612;7080;8600;13180;16380;18660;20840;19160
618;7696;12852;20920;27224;33112;38684;38684
624;2704;2340;2708;1928;1672;1100;1100
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2496;3648;4480;5088;5536;6048
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;3282;3570;3138;3554;3698;3282
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;9360;9216;10656;10000;12016;9376
612;15820;17500;23020;26740;31180;35260;32380
618;33521;35169;34321;37881;41857;51697;44209
624;8740;24244;40788;56372;71956;85748;85332
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;25342;31195;37880;40566;47699;53840;60973
43;1152;1572;756;576;-396;216;828
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;-205;-2000;-3075;-3909;-3800;-2139;3058
83;5589;5271;4645;3271;2753;3095;3437
100;3025;2359;3093;3827;4561;5662;6763
316;216692;222808;222588;230288;245380;267226;294880
612;236724;237804;232404;231564;245604;285744;335724
618;204838;192236;177346;184712;227854;299431;381616
624;13716;15432;23804;20112;24532;38650;53808
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;2316;3276;2956;3404;3884;4844
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;2082;2269;2648;2947;3171;3134;4286
83;182;314;314;446;446;578;578
100;1260;700;1260;1820;2100;2660;2660
316;9527;13751;14279;19559;21671;26951;26951
612;7089;11409;15249;19809;21489;25809;25809
618;8318;21734;32862;46278;49294;62086;61878
624;12293;13749;15413;16869;17389;18637;18013
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
9; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2212;2212;2212;2212;2212;2212;2212
41;10172;7280;5198;620;-1750;8;1670
43;1648;883;514;-35;388;1207;2026
