1;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;357;357;357;357;357;357;357;
41;9916;12626;15888;18854;20764;23730;28696;
43;50;90;130;170;210;250;290;
77;90;90;90;90;90;90;90;
80;0;0;0;0;0;0;0;
81;3481;-1579;-1055;-737;141;-293;5653;
83;72;24;-52;-92;-80;-60;-40;
100;420;-3640;-5180;-4900;-4620;-4340;-4060;
316;20141;22197;33981;41837;46621;47821;61309;
612;31198;63718;87358;107118;126878;145918;171918;
618;71609;104609;147409;163609;195809;225609;261409;
624;-100;3300;12100;12900;16900;23100;31100;
3416;0;0;0;0;0;0;0;
6412;12237;22737;33237;40237;47237;54237;61237;
6418;1100;1100;1100;1100;1100;1100;1100;
6424;620;620;620;620;620;620;620;

2;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;0;0;0;0;0;0;0;
41;7936;11026;14404;18038;21556;25074;28092;
43;240;360;440;500;560;600;640;
77;68;68;68;68;68;68;68;
80;0;0;0;0;0;0;0;
81;5072;5945;6378;6216;6682;6962;9154;
83;84;112;144;168;192;210;226;
100;1400;1960;-1680;-1680;-1400;-840;-280;
316;35840;30992;19000;15688;7792;15232;23232;
612;26160;41480;48360;70120;88040;104520;124520;
618;47100;48100;55700;81100;101900;132700;159500;
624;17800;17900;23600;26400;31000;37800;43600;
3416;418;418;418;418;418;418;418;
6412;25120;27340;29060;31280;29360;30080;35080;
6418;641;641;641;641;641;641;641;
6424;0;0;0;0;0;0;0;

3;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;1584;1584;1584;1584;1584;1584;1584;
41;7444;13100;17104;22548;27908;30424;36924;
43;600;1200;1800;2400;3000;3600;4200;
77;41;41;41;41;41;41;41;
80;0;0;0;0;0;0;0;
81;3775;5204;8101;12090;14500;16105;21210;
83;1000;1600;2200;2800;3400;4000;4600;
100;-1120;-1120;-1120;-1120;-1120;-1120;-1120;
316;74000;68280;84576;95992;118432;123704;148704;
612;74000;107240;138320;166000;198080;227920;268600;
618;151200;196600;245400;265200;308600;326000;383600;
624;16000;25700;39200;47200;55600;59800;73300;
3416;120;120;120;120;120;120;120;
6412;15200;19200;23200;20720;22720;23280;27280;
6418;0;0;0;0;0;0;0;
6424;0;0;0;0;0;0;0;
