1;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;357;357;357;357;357;357;357;
41;31944;35444;38944;42444;44888;48388;51888;
43;337;337;337;337;337;337;337;
77;6;6;6;6;6;6;6;
80;0;0;0;0;0;0;0;
81;13180;19426;25672;30390;35108;39326;45044;
83;428;428;428;428;428;428;428;
100;6720;7140;7560;7980;8400;8820;9240;
316;17000;31000;45000;59000;73000;87000;101000;
612;88000;120000;152000;184000;216000;248000;280000;
618;82000;122000;162000;202000;242000;282000;322000;
624;29632;37632;45632;53632;61632;69632;77632;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;1554;1554;1554;1554;1554;1554;1554;
6424;1141;1141;1141;1141;1141;1141;1141;

2;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;0;0;0;0;0;0;0;
41;19776;24776;29776;34776;39776;44776;49776;
43;672;684;696;708;720;732;744;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;9632;15285;20938;26998;32651;38307;44367;
83;0;8;16;24;32;40;40;
100;4340;5320;6300;6720;7700;8260;8680;
316;45056;63056;81056;91056;109056;127056;137056;
612;113520;147520;181520;198520;232520;266520;283520;
618;57096;100096;143096;166096;209096;252096;275096;
624;18096;26096;34096;38096;46096;51096;55096;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;168;168;168;168;168;168;168;
6424;80;80;80;80;80;80;80;

3;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;792;792;792;792;792;792;792;
41;16244;23242;30240;35682;41180;47678;54676;
43;1329;1929;2529;2979;3429;3879;4329;
77;28;28;28;28;28;28;28;
80;0;0;0;0;0;0;0;
81;16812;23767;30722;36072;40435;45809;51283;
83;1126;1526;1926;2326;2726;3126;3526;
100;2940;3080;3220;3360;3920;4060;4200;
316;64124;94124;124124;143124;165124;185124;214124;
612;124264;178264;232264;271264;310264;349264;403264;
618;116408;184952;253496;302040;350584;399128;466672;
624;26184;41684;57184;66184;75184;81584;96584;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;-56;-56;-56;-56;-56;-56;-56;
6424;-4;-4;-4;-4;-4;-4;-4;

4;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;2380;2380;2380;2380;2380;2380;2380;
41;24004;28004;32504;35448;38448;42448;46448;
43;448;646;844;1042;1240;1438;1636;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;9128;13083;17301;21056;23468;27423;31141;
83;1040;1540;2040;2540;3040;3540;4040;
100;3760;3760;3760;3760;4720;4720;4720;
316;40920;49896;62098;71074;83276;92252;104454;
612;112112;132512;163472;183872;214832;235232;266192;
618;89064;118496;159264;188696;229464;258896;299664;
624;15348;21380;30324;36356;45300;51332;60276;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;900;900;900;900;900;900;900;
6424;1155;1155;1155;1155;1155;1155;1155;

5;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;0;0;0;0;0;0;0;
41;2144;1938;1782;1526;2326;2470;1414;
43;108;120;144;168;180;192;0;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;1216;1219;1172;1534;2403;3167;1871;
83;8;16;32;48;56;64;8;
100;3220;3500;3640;3780;3920;4200;4200;
316;0;2500;4900;2976;5176;4952;728;
612;360;5960;11760;9240;14540;17620;17620;
618;0;7400;7736;7672;10828;17964;11100;
624;9984;11384;12884;9924;8104;8824;6744;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;168;168;168;168;168;168;168;
6424;55;55;55;55;55;55;55;

6;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;0;0;0;0;0;0;0;
41;1600;1824;2048;1952;2912;2496;2080;
43;0;0;0;0;0;0;0;
77;25;25;25;25;25;25;25;
80;0;0;0;0;0;0;0;
81;2099;2933;4135;4667;4882;5630;5556;
83;24;24;-108;-240;-372;-504;-504;
100;2340;2900;3460;4020;4440;4860;5280;
316;8976;13584;18192;22800;26896;30992;34064;
612;6969;14169;13449;20049;26649;32649;38649;
618;16476;30476;44476;57476;70476;83476;94476;
624;4866;7266;9666;11666;13666;8802;10602;
3416;0;0;0;0;0;0;0;
6412;80;80;80;80;80;80;80;
6418;428;428;428;428;428;428;428;
6424;-59;-59;-59;-59;-59;-59;-59;

7;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;21;21;21;21;21;21;21;
41;32752;38252;43752;49252;54752;58252;63752;
43;1730;2130;2530;2830;3130;3430;3830;
77;216;216;216;216;216;216;216;
80;0;0;0;0;0;0;0;
81;14884;22267;30014;37397;45144;49527;56910;
83;9155;9555;9955;10355;10755;11155;11555;
100;3920;4760;5320;6160;6720;7560;8400;
316;94324;117324;132324;155324;170324;193324;216324;
612;110900;150900;178900;218900;246900;286900;326900;
618;127680;187680;227680;287680;327680;387680;447680;
624;72484;84484;92484;104484;112484;124484;136484;
3416;1511;1511;1511;1511;1511;1511;1511;
6412;0;0;0;0;0;0;0;
6418;448;448;448;448;448;448;448;
6424;80;80;80;80;80;80;80;

8;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;0;0;0;0;0;0;0;
41;1838;1838;1838;2894;2894;2894;2894;
43;417;417;417;747;747;747;747;
77;10;10;10;10;10;10;10;
80;0;0;0;0;0;0;0;
81;2771;2654;2537;1892;1908;1396;1412;
83;928;1060;1060;1060;928;928;928;
100;3360;3920;4480;5040;5320;5600;5880;
316;16585;21865;27145;32425;35065;20281;22921;
612;11757;11037;10317;9597;5277;8877;12477;
618;12706;15098;17490;19882;20818;21754;22690;
624;10599;12887;15175;10599;11743;12887;14031;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;448;448;448;448;448;448;448;
6424;280;280;280;280;280;280;280;

9;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;2212;2212;2212;2212;2212;2212;2212;
41;7656;10592;13498;16434;19370;22306;25242;
43;14218;14418;14618;14818;15018;15218;15418;
77;76;76;76;76;76;76;76;
80;0;0;0;0;0;0;0;
81;7980;10647;13069;15736;18403;21070;23737;
83;6883;7083;7283;7483;7683;7883;8083;
100;5320;5880;6440;7000;7560;8120;8680;
316;59376;71376;87376;99376;111376;123376;135376;
612;73440;97440;132440;156440;180440;204440;228440;
618;133200;158200;195200;220200;245200;270200;295200;
624;18764;26764;38764;46764;54764;62764;70764;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;560;560;560;560;560;560;560;
6424;480;480;480;480;480;480;480;

10;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;2174;2174;2174;2174;2174;2174;2174;
41;15646;19771;24085;28220;32079;32939;37628;
43;500;575;671;745;828;925;1013;
77;173;173;173;173;173;173;173;
80;0;0;0;0;0;0;0;
81;19706;23043;26604;30028;35144;37295;43686;
83;632;752;921;1082;1225;1396;1565;
100;1540;2240;2940;2940;3640;3640;3640;
316;39600;53328;67056;76296;90024;103752;112992;
612;64200;93840;123480;144600;174240;203880;225000;
618;100048;137072;174096;199264;236288;273312;298480;
624;28728;36736;44744;50152;58160;66168;71576;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;0;0;0;0;0;0;0;
6424;299;299;299;299;299;299;299;

11;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;0;0;0;0;0;0;0;
41;892;1948;3004;4060;5116;6172;7228;
43;44;264;484;684;864;1044;1264;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;1753;2874;4039;5283;6527;7651;8806;
83;97;167;237;297;347;387;457;
100;0;0;0;0;0;0;0;
316;11360;17176;22464;25632;28800;34616;40432;
612;11060;21060;29700;35700;41700;52260;61260;
618;8048;23048;35048;42848;50648;64648;77148;
624;8088;11288;14288;16288;18288;21688;24688;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;56;56;56;56;56;56;56;
6424;-4;-4;-4;-4;-4;-4;-4;

12;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;1;1;1;1;1;1;1;
41;14524;16270;19072;21174;22575;25377;26778;
43;148;172;196;220;244;268;292;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;8335;11949;15563;18276;20084;23698;25506;
83;156;156;156;156;156;156;156;
100;2424;3264;4104;4524;4944;5784;6204;
316;21294;28254;35214;40434;43914;50874;54354;
612;53826;69404;84982;96666;104455;120033;127822;
618;45031;63419;81807;95598;104792;123180;132374;
624;10398;14898;19398;22773;25023;29523;31773;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;560;560;560;560;560;560;560;
6424;40;40;40;40;40;40;40;

13;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;0;0;0;0;0;0;0;
41;7962;10142;12476;13883;15565;17312;19227;
43;717;934;1151;1368;1585;1802;2019;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;3386;5935;8791;10499;12649;15221;18150;
83;991;1162;1333;1504;1675;1846;2017;
100;935;1251;1567;1883;2199;2515;2673;
316;7692;15444;23196;30948;38700;46452;50328;
612;55905;71843;87781;103719;119657;135595;143564;
618;66244;87600;108956;130312;151668;173024;183702;
624;31783;37369;42955;48541;54127;59713;62506;
3416;54;54;54;54;54;54;54;
6412;0;0;0;0;0;0;0;
6418;448;448;448;448;448;448;448;
6424;80;80;80;80;80;80;80;

14;;;;;;;;
;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;
21;0;0;0;0;0;0;0;
41;288;288;288;288;288;288;288;
43;0;0;0;0;0;0;0;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;901;901;901;901;901;901;901;
83;0;0;0;0;0;0;0;
100;240;240;240;240;240;240;240;
316;3691;3691;3691;3691;3691;3691;3691;
612;1793;1793;1793;1793;1793;1793;1793;
618;3159;3159;3159;3159;3159;3159;3159;
624;2720;2720;2720;2720;2720;2720;2720;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;678;678;678;678;678;678;678;
6424;740;740;740;740;740;740;740;

