1; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;357;357;357;357;357;357;357
41;4032;4894;2354;2342;634;-1874;2902
43;1514;1104;718;398;498;178;278
77;4;4;4;4;4;4;4
80;0;0;0;0;0;0;0
81;7983;5026;3173;2008;2187;-4129;-13
83;2230;1316;746;550;282;14;114
100;5132;4152;3172;3312;3452;3732;4012
316;55904;15280;30624;14288;22240;36528;51872
612;93036;105262;114128;139554;164740;193286;224712
618;48864;43592;36864;18904;11552;456;43440
624;23784;11534;18212;11162;13680;19734;29948
3416;190;190;190;190;190;190;190
6412;673;673;673;673;673;673;673
6418;729;729;729;729;729;729;729
6424;3040;3040;3040;3040;3040;3040;3040
 
2; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;6287;3811;2519;1259;-1825;-813;507
43;868;376;676;580;384;512;712
77;269;269;269;269;269;269;269
80;0;0;0;0;0;0;0
81;1331;-825;-253;-1673;-813;-1529;-1437
83;379;379;383;387;391;275;279
100;3630;4470;2090;1530;1950;2790;3630
316;26984;30536;21488;30848;15992;13208;28904
612;65790;44342;30978;35210;-2154;3038;24070
618;74061;61901;47293;33885;16157;3789;45709
624;3119;7391;7967;15567;14687;17503;25727
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;200;200;200;200;200;200;200
6424;340;340;340;340;340;340;340
 
3; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;792;792;792;792;792;792;792
41;2601;-1870;31;3880;5316;12301;19446
43;1112;724;336;344;-44;120;920
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;2947;1655;-1771;-2471;-4693;-3969;2467
83;1246;1060;610;292;106;448;790
100;4106;4769;5432;6095;6758;7421;8084
316;32527;15193;2933;13055;9771;33093;60639
612;53536;38380;-4604;400;-6344;7060;52384
618;74271;38613;1529;22863;54419;132329;210655
624;44765;23324;2582;5893;751;5518;22765
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;3830;3830;3830;2150;2150;2150;2150
6424;2911;2911;2911;1711;1711;1711;1711
 
4; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;2380;2380;2380;2380;2380;2380;2380
41;1546;4358;2818;-1186;-2886;-1546;1810
43;4148;2376;1490;-188;416;718;1322
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-556;-935;-2770;-3533;-2888;-355;2722
83;190;216;242;268;294;320;346
100;2436;1372;1988;2604;3220;3836;4452
316;20160;24428;30280;33492;29840;23548;33624
612;49964;43128;15172;1856;-5940;-10856;-5692
618;56596;68044;26868;23756;-1612;-4100;24404
624;11296;13836;-1512;820;-592;5068;10728
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-398;-678;-678;-678;-678;-678;-678
6424;90;-30;-30;-30;-30;-30;-30
 
5; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;256;-592;608;204;844;628;-428
43;414;474;534;594;654;714;774
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;320;782;918;539;1380;1245;477
83;414;414;422;422;422;430;430
100;560;700;840;-140;0;140;140
316;3168;6140;9212;8488;9348;8796;4572
612;120;1520;1720;-3500;-1960;700;-5060
618;728;576;-1856;-1384;760;816;-2512
624;208;960;2960;1632;1552;432;-1648
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;204;204;204;204;204;204;204
6424;242;242;242;242;242;242;242
 
6; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;32;928;864;928;640;416;1056
43;188;188;188;188;188;188;188
77;24;24;24;24;24;24;24
80;0;0;0;0;0;0;0
81;2000;1871;1870;1197;996;308;-588
83;476;472;472;472;472;472;472
100;1540;1960;2380;2800;3220;3640;4060
316;11880;9240;8712;8712;8184;9240;9240
612;12527;10847;13727;15407;17807;21647;24047
618;24785;26449;23745;26033;27697;31789;37961
624;9780;10612;7700;8948;9780;11028;10404
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;318;318;318;318;318;318;318
6424;240;240;240;240;240;240;240
 
7; ; ; ; ; ; ; ; 
