1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;30105;23309;29249;32813;34329;41349;49689
43;667;667;667;667;451;667;667
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;16744;17173;27570;28475;33339;40711;46795
83;256;276;296;316;336;356;376
100;1460;1880;2300;2720;3140;3560;3980
316;50674;55586;75810;98674;112674;126674;140674
612;83226;77626;137546;164826;198106;245306;287226
618;129272;97768;197304;205320;254728;319944;389112
624;34855;35743;51815;58527;62535;79855;88023
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;27584;23560;26448;33080;34892;40288;53896
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;14288;18173;25562;28375;33360;40985;49094
83;60;80;88;96;104;112;120
100;3780;4760;5740;6720;7140;8120;8540
316;48048;42928;80048;96048;104048;120048;128048
612;99480;66040;159560;160680;198800;252480;269480
618;24752;69000;112000;155000;177000;220000;242000
624;27144;36392;44392;52392;56392;64392;68392
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;16354;21590;25866;33818;33346;39826;53994
43;3227;4027;4431;4791;4839;5799;7191
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;16822;16437;26804;27925;32700;40205;52495
83;1929;2529;3129;3677;4329;4829;5429
100;2100;2240;2380;2520;3080;3220;3360
316;83314;65266;102658;100482;144850;160098;233394
612;148680;40920;202680;147640;196760;256200;417480
618;107922;91106;174338;206242;241266;325794;468178
624;35336;24420;47824;55576;67488;66088;100308
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-398;-398;-398;-734;-734;-734;-734
6424;400;400;400;280;280;280;280
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;19016;20564;24404;29120;32120;36616;40216
43;588;786;984;1182;1380;1578;1776
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;16199;17780;24695;26755;31276;35086;39035
83;1318;1818;2318;2818;3318;3818;4318
100;420;1380;1380;1380;2340;2340;2340
316;4495;14527;28841;39401;51603;60579;71139
612;31356;52476;72876;103836;124236;155196;175596
618;60975;87287;119839;160607;190039;230807;260239
624;10837;16869;22901;31845;37877;46821;52853
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;732;732;732;732;732;732;732
6424;1135;1135;1135;1135;1135;1135;1135
 
5; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;768;1618;1422;1206;2036;2080;1834
43;132;144;168;192;204;228;48
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;688;1740;1686;283;1095;2644;2309
83;56;64;80;92;104;112;56
100;3500;3640;3920;4060;4200;4480;4620
316;4224;6624;4144;2220;-2116;-2840;-4964
612;6360;12560;10940;9120;15020;19100;17080
618;7072;14672;8636;9572;12272;13544;13680
624;3744;5244;4140;3860;2648;3068;2588
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;140;140;140;140;140;140;140
6424;55;55;55;55;55;55;55
 
6; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;1408;1632;1856;1760;1664;1568;1152
43;564;564;564;564;564;564;564
77;25;25;25;25;25;25;25
80;0;0;0;0;0;0;0
81;2067;2414;3769;4281;5335;5546;5965
83;888;888;624;888;624;888;888
100;940;1360;1780;2200;2620;3040;3460
316;19008;24288;29568;34848;39600;44352;49104
612;14062;21262;28462;35062;41662;47662;53662
618;24068;38628;53188;67748;81268;94788;108308
624;5490;7778;10066;12354;14434;16514;18594
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;428;428;428;428;428;428;428
6424;0;0;0;0;0;0;0
 
7; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;21;21;21;21;21;21;21
41;22786;20062;21818;31382;34930;41374;52730
43;3120;3420;3720;4020;4320;4620;5020
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;9902;7696;71899;28270;33181;38599;49769
83;2122;2522;2922;3322;3722;4122;4522
100;3920;4760;5320;5880;6440;7280;8120
316;97744;58328;85888;100776;128336;167064;214768
612;100044;47084;1056664;152844;192044;238204;317964
618;122428;57180;645716;188652;253244;295116;441820
624;53524;24884;11796;52580;62580;79908;124692
3416;1511;1511;1511;1511;1511;1511;1511
6412;0;0;0;0;0;0;0
6418;392;392;392;392;392;392;392
6424;0;0;0;0;0;0;0
 
8; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;412;412;1468;2524;2524;3580;3580
43;469;469;469;469;469;469;469
77;10;10;10;10;10;10;10
80;0;0;0;0;0;0;0
81;1554;1450;1346;1242;1788;2212;2884
83;916;1048;916;916;916;784;784
100;3360;3920;4480;5040;5320;5880;5880
316;19489;24609;29729;34849;19985;25105;25105
612;18201;17481;24681;23961;27561;26841;18921
618;8026;9378;17594;25810;26746;34962;28098
624;7271;9351;11431;13511;14551;16631;16631
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;448;448;448;448;448;448;448
6424;440;440;440;440;440;440;440
 
9; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2212;2212;2212;2212;2212;2212;2212
41;11068;13874;15846;18780;21714;24648;27582
43;5876;4592;3908;4796;4700;5948;7676
77;76;76;76;76;76;76;76
80;0;0;0;0;0;0;0
81;7157;8175;11115;14085;16943;19785;22579
83;7188;6596;6264;6336;6536;6868;8388
100;5320;2520;5880;7840;8680;9520;10360
316;91584;76128;93240;116856;142584;154584;166584
612;47280;56160;89920;119680;153280;173680;193360
618;153896;93824;179744;181656;201872;243720;312192
624;17308;16364;35228;43436;51436;59436;67436
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;988;988;988;988;988;988;988
6424;780;780;780;780;780;780;780
 
10; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2174;2174;2174;2174;2174;2174;2174
41;11224;14317;17663;21198;25057;27973;31662
43;433;508;604;684;747;824;892
77;171;171;171;171;171;171;171
80;0;0;0;0;0;0;0
81;15772;17686;22767;27704;32812;35255;42748
83;911;1031;1200;1361;1504;1675;1844
100;1540;1400;2940;3640;4340;4340;4340
316;27284;36788;50516;60020;73748;87476;96980
612;28955;46355;76355;95915;123755;151595;171155
618;42277;69213;108213;135149;174149;213149;240085
624;22308;21372;36660;42588;51012;59436;65364
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;728;728;728;728;728;728;728
6424;299;299;299;299;299;299;299
 
11; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;1772;2828;3884;4940;5840;6740;7796
43;114;354;574;754;914;1074;1274
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;1766;2892;4135;5178;6421;7562;8703
83;145;235;325;385;445;505;595
100;0;0;0;0;0;0;0
