1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;30105;32301;35905;39245;41529;44005;48345
43;667;667;667;667;667;667;667
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;16744;18469;20034;22907;26123;28743;34235
83;256;264;272;292;312;332;352
100;1460;1880;-780;-1480;-1060;-640;-220
316;50674;54530;63666;73858;84162;95522;106882
612;83226;109546;138746;168186;198346;231866;265386
618;129272;149768;178168;213432;255560;289160;331496
624;34855;35119;43911;48543;57127;65919;74711
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;27584;30344;34480;38392;42028;45152;49672
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;14080;14749;16666;18743;21280;23641;27926
83;60;56;56;56;56;56;56
100;3780;4760;1540;560;980;1960;2380
316;48048;59296;71072;80736;88736;104736;112736
612;91560;109000;141080;160440;172640;206640;221240
618;20592;36760;51264;91560;106072;146368;166496
624;27144;26200;32952;38664;41416;48168;50296
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;16354;23798;31082;36986;40834;46738;53642
43;3227;4027;4827;5427;6027;6591;7191
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;17318;22773;30020;32933;33932;37597;45279
83;1929;2529;3129;3729;4329;4829;5429
100;2100;2240;2380;2520;3080;3220;3360
316;84898;99058;126418;143778;168610;181746;209106
612;151080;193560;236040;272920;310040;348120;399960
618;111250;174306;240482;279042;324466;371138;435938
624;35752;49796;64256;72216;80176;77528;91988
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-398;-398;-398;-734;-734;-734;-734
6424;400;400;400;280;280;280;280
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;9864;3028;-1164;-6240;-10856;-9368;-6248
43;588;786;984;1182;1380;1578;1776
77;0;0;0;0;0;0;0
