1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;28985;31661;34753;37165;40505;42981;47321
43;667;667;667;427;427;187;187
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;15048;15989;16978;18715;21243;23559;28907
83;256;264;272;292;312;332;352
100;1460;1880;-780;-1480;-1060;-640;-220
316;4210;8066;-20814;-22238;-27246;-25918;-27230
612;39306;14746;8666;-9894;-20774;-3094;30426
618;109928;57832;33400;22696;552;-22840;12632
624;16343;3087;-2473;-11153;-4441;-2097;6695
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;27584;28488;31664;33464;36460;39584;44104
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;10848;4797;2314;1063;-976;-1143;2966
83;60;56;56;56;56;56;56
100;3780;4760;1540;560;980;1960;2380
316;46464;24448;10352;-4272;-3136;-5616;2384
612;76440;17080;24680;15000;-10000;-12240;-9160
618;8112;-27512;-26320;-16392;-33080;-10880;4048
624;26728;9560;920;-1688;-13288;-12984;-13976
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;16098;22486;30570;36218;41122;47026;53930
43;2435;2047;1659;279;-309;291;891
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;16022;19461;26068;28261;28956;32685;40367
